product_id,product_name,category,brand,base_price,product_specs
PROD-5001,boAt Airdopes 141 True Wireless Earbuds,Electronics,boAt,1299.0,"{""weight_grams"": 45, ""warranty_months"": 12, ""is_returnable"": true, ""model_code"": ""MOD-2758""}"
PROD-5002,boAt Stone 650 10W Bluetooth Speaker,Electronics,boAt,1999.0,"{""weight_grams"": 650, ""warranty_months"": 12, ""is_returnable"": true, ""model_code"": ""MOD-6489""}"
PROD-5003,Noise ColorFit Pulse 2 Max Smartwatch,Electronics,Noise,1799.0,"{""weight_grams"": 42, ""warranty_months"": 12, ""is_returnable"": true, ""model_code"": ""MOD-5662""}"
PROD-5004,Noise Buds VS102 Wireless Earphones,Electronics,Noise,999.0,"{""weight_grams"": 35, ""warranty_months"": 12, ""is_returnable"": true, ""model_code"": ""MOD-8444""}"
PROD-5005,"Samsung Galaxy M34 5G (128GB, Prism Blue)",Electronics,Samsung,16499.0,"{""weight_grams"": 208, ""warranty_months"": 12, ""is_returnable"": true, ""model_code"": ""MOD-9901""}"
PROD-5006,Samsung 24-inch FHD IPS Gaming Monitor,Electronics,Samsung,9499.0,"{""weight_grams"": 3800, ""warranty_months"": 36, ""is_returnable"": true, ""model_code"": ""MOD-9590""}"
PROD-5007,OnePlus Nord CE 3 Lite 5G (Pastel Lime),Electronics,OnePlus,19999.0,"{""weight_grams"": 195, ""warranty_months"": 12, ""is_returnable"": true, ""model_code"": ""MOD-9092""}"
PROD-5008,OnePlus Bullets Z2 Wireless Neckband,Electronics,OnePlus,1699.0,"{""weight_grams"": 30, ""warranty_months"": 12, ""is_returnable"": true, ""model_code"": ""MOD-3198""}"
PROD-5009,Apple iPad 10th Gen 64GB Wi-Fi (Silver),Electronics,Apple,36900.0,"{""weight_grams"": 477, ""warranty_months"": 12, ""is_returnable"": false, ""model_code"": ""MOD-9261""}"
PROD-5010,Apple 20W USB-C Power Adapter,Electronics,Apple,1900.0,"{""weight_grams"": 80, ""warranty_months"": 12, ""is_returnable"": true, ""model_code"": ""MOD-8668""}"
